Asia Park,2,4,"1 Phan Đăng Lưu, Hoà Cường Bắc, Hải Châu, Đà Nẵng",Asia%20Park&t=&z=17,,6 5 8,Đà Nẵng,https://i.imgur.com/ass6sYE.png
"Fantasy Park, Bà Nà Hill",3,4,"Hoà Phú, Hòa Vang, Đà Nẵng",Fantasy%20Park%2C%20B%C3%A0%20N%C3%A0%20Hill&t=&z=17,,6 5 3 4,Đà Nẵng,https://i.imgur.com/vjHymbU.png
Bãi biển Mỹ Khê,0,0,"Phước Mỹ, Sơn Trà, Đà Nẵng",B%C3%A3i%20bi%E1%BB%83n%20M%E1%BB%B9%20Kh%C3%AA&t=&z=17,,13,Đà Nẵng,https://i.imgur.com/RqePq3K.png
Núi Thần Tài,2,3,"QL14G, Hoà Phú, Hòa Vang, Đà Nẵng",N%C3%BAi%20Th%E1%BA%A7n%20T%C3%A0i&t=&z=17,,9 6 4,Đà Nẵng,https://i.imgur.com/7KrabM0.png
"Cầu Rồng, Dragon Bridge",0,0,"An Hải Trung, Sơn Trà, Đà Nẵng",C%E1%BA%A7u%20R%E1%BB%93ng%2C%20Dragon%20Bridge&t=&z=17,,3,Đà Nẵng,https://i.imgur.com/lIYTm2E.png
Cáp treo Bà Nà,3,3,"Hòa Vang, Đà Nẵng",C%C3%A1p%20treo%20B%C3%A0%20N%C3%A0&t=&z=17,,4 8 12,Đà Nẵng,https://i.imgur.com/P2E3KO0.png
Làng hoa tình yêu Bà Nà,3,3,"Hòa Vang, Đà Nẵng",Sun%20World%20B%C3%A0%20N%C3%A0%20Hills&t=&z=17,,4,Đà Nẵng,https://i.imgur.com/XxGVPJ2.png
Đèo Hải Vân,0,0,"Lăng Cô, Phú Lộc, Thừa Thiên Huế",%C4%90%C3%A8o%20H%E1%BA%A3i%20V%C3%A2n&t=&z=17,,4 12,Thừa Thiên-Huế,https://i.imgur.com/49G1LlV.png
Cầu Tình Yêu,0,0,"Trần Hưng Đạo, An Hải Trung, Sơn Trà, Đà Nẵng",C%E1%BA%A7u%20T%C3%ACnh%20Y%C3%AAu%2C%20%C4%90%C3%A0%20N%E1%BA%B5ng&t=&z=17,,3,Đà Nẵng,https://i.imgur.com/rOtiXJl.png
Trà sữa Bobapop,1,3,"28 Nguyễn Văn Linh, Nam Dương, Hải Châu, Đà Nẵng",Tr%C3%A0%20s%E1%BB%AFa%20Bobapop%20%C4%90%C3%A0%20N%E1%BA%B5ng&t=&z=13,,5,Đà Nẵng,https://i.imgur.com/XNUbHtx.png
